Project Name,id,Start Date,End Date,BD25 Lead Producer
Our Patch - Us Girls,recfEC7B8hipcblTA,,,
Our Patch - New Recruitment,recfTVBC3Du704RP7,,,
The Ceremony,recfneStownnX7J8k,2024-08-20,,
zz - Beacon - Venue Build and tech installs,recg0G1gmdKHoAsaX,,,
Our Patch - Heart and Hands Studio,recgGUZvYUHvbxZ1Y,,,
Our Patch - Unique Voices,rechhVTuPxQbJvvir,,,
Our Patch - Street Sounds 9 at Bolton Community Church,reciGUlkHIRdca2Lw,,,
Our Patch - KAWACC,reciPGErE79M5w2mn,,,
Our Patch - One-off community events: West,reciUOJpOofmMMKzO,,,
Our Patch - Woodroyd Tapestry Project,reciavNJMMBdWY7VC,,,
Our Patch - Bangladeshi Community Association (BCA),reciv15PK66JGnZqE,,,
Our Patch - The Gateway Centre Weaving Project,recjcg8E4ptoW6xKm,,,
Our Patch - The Wellbeing Walkers,recjlrQeNqX45XUfG,,,
Our Patch - The Travelling Spoon,reck0T5bxqgG7s9kp,,,
Our Patch - Possibilities,reckMPmYdtMeeCtAb,,,
Our Patch - Reevy Hill Mural,reclIh6eZvge7dcjZ,,,
Our Patch - Summer Reading Challenge (All Areas),reclxKsAEeViQJFhw,,,
Our Patch - Youth Zen Den,recmE6gKctzItZykE,,,
Our Patch - Picasso in the Pub,recmedeWVgn8ydVld,,,
Our Patch - Boxing for wellbeing Oneness Centre,recmeiSEHKj2QoU0U,,,
Our Patch - The Bridge - Cultural Care Package,recnaDglkSQJHS1yw,,,
Our Patch - Get2Gether Group,recnbXDFL58lGvty8,,,
Our Patch - DRAW Tour Workshops: Keighley & Ilkley,recnk90yCuWJYPW2R,,,
Our Patch - Community Trips - Keighley & Ilkley,recnttGflz4n5wHgQ,,,
Our Patch - The Blank Page Club,reco2zGeyFuCWSGaF,,,
Our Patch - Scouts and Cubs at St James Church Hall,recoMDqiU16Wn03WA,,,
Our Patch - Dhol Drumming,recoeyPJVffThpzRJ,,,
Our Patch - Vibe Check,recq9PZlxYSyjdivJ,,,
Our Patch - Northcliffe Environmental Enterprises Team (NEET),recqlH29j28IJ4WKr,,,
Our Patch - Holmewood Library Mosaic,recqnY1tHcEEJQuPE,,,
Unlimited micro grants,recrBrVPtOjCzyFLT,,,
Our Patch - Laisterdyke Women's Tapestry and Craft Group,recrapifmzbltkRVa,,,
Our Patch - Denholme Youth Group,recsKbTT3cZ2vEY1x,,,
Our Patch - Denholme Juniors Youth Group,recsZBaGMQBCWJrc9,,,
Our Patch - Singing for Wellbeing at The Good Shepherd Centre,rectfrexFhFeHmcxM,,,
Ramadan Festival,recu6EgQAFP5lwK3x,,,
Our Patch - DRAW Tour Workshops: West,recuMpBc3983JGbre,,,
Our Patch - Cadets (Keighley/Shipley),recvsIlmSXvhGGSYH,,,
Our Patch - One-off community events: Shipley,recwoaruSc2BCnpmz,,,
"Our Patch - Our Story, Our City",recwtXHHzfqUZ9KPf,,,
Our Patch - Lower Grange Choir Grief Support,recxNeKPattx0hTOD,,,
Our Patch - One-off community events: South,recxgmJY6oClvRE7S,,,
Our Patch - Delius School,recyXXZL3e60dtqS1,,,
Our Patch - Salvation Army,recyZYXbPlmCjaJNB,,,
Our Patch - MAPA Youth Group,recz69LOSlR4FAxfl,,,
Plug It Up -Yorkshire Sound Women Network,recRf6bUP0ZtVHbXl,,,Alice Boulton-Breeze
Bradford Glow,recN8TcNtzLJKQIkP,2024-07-09,,Andra Chelcea
Cultural Learning One-Off Activity,recczan0VgIUwcpto,,,Andra Chelcea
Pins For Peace by Mek Summat,recDXMiTDCIHfdVFM,,,Harry Jelley
Mango Season by Double Pivot,recbTK0znEdXAAify,,,Harry Jelley
Flesh and Flamingos,rec12LlwqDA2mlYKj,,,Jessica
NEUROQUEER by Theatre with Legs,rec2YYuc3Dw2F2i7o,,,Jessica
Wondering Heights by Lucy Barker,rec46TkeXDrf0txly,,,Jessica
Forge -Development Lab,recHzd13O5qGw7onT,,,Jessica
Hardy and Free,recNv05IqiTqqmslH,,,Jessica
Forge - Scraps,reclN0CZLFbgjqcvF,,,Jessica
Forge - Practical Anarchy,recnr81yT3K3vghYS,,,Jessica
Brave Festival - Tricia Arthur Stubbs,recoAhC1TySe8fPHK,,,Jessica
Back In The Pink - Castles In The Sky,rectX5hll18aoT1I4,,,Jessica
Bradford's Bigger Picture - Pictureville Year Round Programme,rec5Yp1LHlvCVOGy4,,,Kat Boon
Kate Test project 1,rec65TH3rryErh8I1,,,Kate Reynolds
Shaadmani by Aamta Tul-Waheed,recUkU9VlcgLKKd6q,,,Kerry Campbell
Four Nations Outdoor Arts Bursary,rec61ItxtXqxbbWA2,2025-02-03,,Laura Beddows
Smoke-Blackened Walls and Curlews - Matthew Bourne,reco4xMyz72ZHo5mu,,,Ned Archibong
