Date,variable,value
2025-01-13,Total Audience,69273
2025-01-13,WhatsApp subscribers,329
2025-01-13,X Followers,12768
2025-01-13,YouTube Subscribers,329
2025-01-20,Bluesky followers,267
2025-01-20,Email Subscribers,17125
2025-01-20,Facebook Followers,12792
2025-01-20,Instagram Followers,12455
2025-01-20,LinkedIn Followers,9795
2025-01-20,Threads Followers,1673
2025-01-20,TikTok Followers,4826
2025-01-20,Total Audience,72407
2025-01-20,WhatsApp subscribers,329
2025-01-20,X Followers,12785
2025-01-20,YouTube Subscribers,360
2025-01-27,Bluesky followers,286
2025-01-27,Email Subscribers,17649
2025-01-27,Facebook Followers,13247
2025-01-27,Instagram Followers,12791
2025-01-27,LinkedIn Followers,10049
2025-01-27,Threads Followers,1707
2025-01-27,TikTok Followers,4879
2025-01-27,Total Audience,74009
2025-01-27,WhatsApp subscribers,330
2025-01-27,X Followers,12703
2025-01-27,YouTube Subscribers,368
2025-02-03,Bluesky followers,324
2025-02-03,Email Subscribers,19073
2025-02-03,Facebook Followers,13498
2025-02-03,Instagram Followers,13063
2025-02-03,LinkedIn Followers,10235
2025-02-03,Threads Followers,1731
2025-02-03,TikTok Followers,4924
2025-02-03,Total Audience,76246
2025-02-03,WhatsApp subscribers,330
2025-02-03,X Followers,12689
2025-02-03,YouTube Subscribers,379
2025-02-10,Bluesky followers,357
2025-02-10,Email Subscribers,19403
2025-02-10,Facebook Followers,13817
2025-02-10,Instagram Followers,13277
2025-02-10,LinkedIn Followers,10399
2025-02-10,Threads Followers,1750
2025-02-10,TikTok Followers,4977
2025-02-10,Total Audience,77367
2025-02-10,WhatsApp subscribers,331
2025-02-10,X Followers,12675
2025-02-10,YouTube Subscribers,381
2025-02-17,Bluesky followers,374
2025-02-17,Email Subscribers,19691
2025-02-17,Facebook Followers,14002
2025-02-17,Instagram Followers,13512
2025-02-17,LinkedIn Followers,10565
2025-02-17,Threads Followers,1763
2025-02-17,TikTok Followers,5082
2025-02-17,Total Audience,78361
2025-02-17,WhatsApp subscribers,332
2025-02-17,X Followers,12656
2025-02-17,YouTube Subscribers,384
2025-02-24,Bluesky followers,407
2025-02-24,Email Subscribers,19982
2025-02-24,Facebook Followers,14145
2025-02-24,Instagram Followers,13835
2025-02-24,LinkedIn Followers,10702
2025-02-24,Threads Followers,1778
2025-02-24,TikTok Followers,5447
2025-02-24,Total Audience,79670
2025-02-24,WhatsApp subscribers,332
2025-02-24,X Followers,12657
2025-02-24,YouTube Subscribers,385
2025-03-03,Bluesky followers,420
2025-03-03,Email Subscribers,20290
2025-03-03,Facebook Followers,14351
2025-03-03,Instagram Followers,14088
2025-03-03,LinkedIn Followers,10820
2025-03-03,Threads Followers,1799
2025-03-03,TikTok Followers,5617
2025-03-03,Total Audience,80769
2025-03-03,WhatsApp subscribers,334
2025-03-03,X Followers,12663
2025-03-03,YouTube Subscribers,387
2025-03-10,Bluesky followers,433
2025-03-10,Email Subscribers,20531
2025-03-10,Facebook Followers,14444
2025-03-10,Instagram Followers,14292
2025-03-10,LinkedIn Followers,10916
2025-03-10,Threads Followers,1817
2025-03-10,TikTok Followers,5678
2025-03-10,Total Audience,81524
2025-03-10,WhatsApp subscribers,335
2025-03-10,X Followers,12686
2025-03-10,YouTube Subscribers,392
2025-03-17,Bluesky followers,446
2025-03-17,Email Subscribers,20815
2025-03-17,Facebook Followers,14886
2025-03-17,Instagram Followers,14495
2025-03-17,LinkedIn Followers,10976
2025-03-17,Threads Followers,1821
2025-03-17,TikTok Followers,5869
2025-03-17,Total Audience,82716
2025-03-17,WhatsApp subscribers,335
2025-03-17,X Followers,12679
2025-03-17,YouTube Subscribers,394
2025-03-24,Bluesky followers,462
2025-03-24,Email Subscribers,21045
2025-03-24,Facebook Followers,15115
2025-03-24,Instagram Followers,14634
2025-03-24,LinkedIn Followers,11059
2025-03-24,Threads Followers,1831
2025-03-24,TikTok Followers,5933
2025-03-24,Total Audience,83472
2025-03-24,WhatsApp subscribers,333
2025-03-24,X Followers,12661
2025-03-24,YouTube Subscribers,399
2025-03-31,Bluesky followers,471
2025-03-31,Email Subscribers,21330
2025-03-31,Facebook Followers,15262
2025-03-31,Instagram Followers,14792
2025-03-31,LinkedIn Followers,11106
2025-03-31,Threads Followers,1840
2025-03-31,TikTok Followers,5976
2025-03-31,Total Audience,84158
2025-03-31,WhatsApp subscribers,331
2025-03-31,X Followers,12650
2025-03-31,YouTube Subscribers,400
2025-04-07,Bluesky followers,486
2025-04-07,Email Subscribers,21713
2025-04-07,Facebook Followers,15489
2025-04-07,Instagram Followers,15028
2025-04-07,LinkedIn Followers,11175
2025-04-07,Threads Followers,1845
2025-04-07,TikTok Followers,6588
2025-04-07,Total Audience,85697
2025-04-07,WhatsApp subscribers,331
2025-04-07,X Followers,12636
2025-04-07,YouTube Subscribers,406
2025-04-14,Bluesky followers,495
2025-04-14,Email Subscribers,22056
2025-04-14,Facebook Followers,16527
2025-04-14,Instagram Followers,15305
2025-04-14,LinkedIn Followers,11238
2025-04-14,Threads Followers,1858
2025-04-14,TikTok Followers,6737
2025-04-14,Total Audience,87588
2025-04-14,WhatsApp subscribers,331
2025-04-14,X Followers,12634
2025-04-14,YouTube Subscribers,407
2025-04-22,Bluesky followers,502
2025-04-22,Email Subscribers,22588
2025-04-22,Facebook Followers,16977
2025-04-22,Instagram Followers,15603
2025-04-22,LinkedIn Followers,11300
2025-04-22,Threads Followers,1865
2025-04-22,TikTok Followers,7160
2025-04-22,Total Audience,89371
2025-04-22,WhatsApp subscribers,332
2025-04-22,X Followers,12634
2025-04-22,YouTube Subscribers,410
2025-04-28,Bluesky followers,510
2025-04-28,Email Subscribers,22942
2025-04-28,Facebook Followers,17090
2025-04-28,Instagram Followers,15778
2025-04-28,LinkedIn Followers,11349
2025-04-28,Threads Followers,1871
2025-04-28,TikTok Followers,7289
2025-04-28,Total Audience,90195
2025-04-28,WhatsApp subscribers,331
2025-04-28,X Followers,12622
2025-04-28,YouTube Subscribers,413
2025-05-07,Bluesky followers,523
2025-05-07,Email Subscribers,23146
2025-05-07,Facebook Followers,17245
2025-05-07,Instagram Followers,15958
2025-05-07,LinkedIn Followers,11416
2025-05-07,Threads Followers,1905
2025-05-07,TikTok Followers,7365
2025-05-07,Total Audience,90934
2025-05-07,WhatsApp subscribers,333
2025-05-07,X Followers,12624
2025-05-07,YouTube Subscribers,419
2025-05-12,Bluesky followers,534
2025-05-12,Email Subscribers,23346
2025-05-12,Facebook Followers,17394
2025-05-12,Instagram Followers,16907
2025-05-12,LinkedIn Followers,11498
2025-05-12,Threads Followers,1933
2025-05-12,TikTok Followers,7780
2025-05-12,Total Audience,92765
2025-05-12,WhatsApp subscribers,332
2025-05-12,X Followers,12619
2025-05-12,YouTube Subscribers,422
2025-05-19,Bluesky followers,546
2025-05-19,Email Subscribers,23567
2025-05-19,Facebook Followers,17839
2025-05-19,Instagram Followers,17360
2025-05-19,LinkedIn Followers,11575
2025-05-19,Threads Followers,1962
2025-05-19,TikTok Followers,7952
2025-05-19,Total Audience,94179
2025-05-19,WhatsApp subscribers,333
2025-05-19,X Followers,12611
2025-05-19,YouTube Subscribers,434
2025-05-27,Bluesky followers,551
2025-05-27,Email Subscribers,23841
2025-05-27,Facebook Followers,18341
2025-05-27,Instagram Followers,17800
2025-05-27,LinkedIn Followers,11650
2025-05-27,Threads Followers,1999
2025-05-27,TikTok Followers,8067
2025-05-27,Total Audience,95649
2025-05-27,WhatsApp subscribers,346
2025-05-27,X Followers,12600
2025-05-27,YouTube Subscribers,454
2025-06-02,Bluesky followers,555
2025-06-02,Email Subscribers,24091
2025-06-02,Facebook Followers,18615
2025-06-02,Instagram Followers,18078
2025-06-02,LinkedIn Followers,11707
2025-06-02,Threads Followers,2023
2025-06-02,TikTok Followers,8212
2025-06-02,Total Audience,96717
2025-06-02,WhatsApp subscribers,371
2025-06-02,X Followers,12601
2025-06-02,YouTube Subscribers,464
2025-06-09,Bluesky followers,564
2025-06-09,Email Subscribers,24379
2025-06-09,Facebook Followers,18778
2025-06-09,Instagram Followers,18415
2025-06-09,LinkedIn Followers,11761
2025-06-09,Threads Followers,2054
2025-06-09,TikTok Followers,8256
2025-06-09,Total Audience,97658
2025-06-09,WhatsApp subscribers,382
2025-06-09,X Followers,12598
2025-06-09,YouTube Subscribers,471
2025-06-16,Bluesky followers,569
2025-06-16,Email Subscribers,24507
2025-06-16,Facebook Followers,18915
2025-06-16,Instagram Followers,18587
2025-06-16,LinkedIn Followers,11827
2025-06-16,Threads Followers,2062
2025-06-16,TikTok Followers,8330
2025-06-16,Total Audience,98274
2025-06-16,WhatsApp subscribers,409
2025-06-16,X Followers,12592
2025-06-16,YouTube Subscribers,476
2025-06-23,Bluesky followers,575
2025-06-23,Email Subscribers,24675
2025-06-23,Facebook Followers,18983
2025-06-23,Instagram Followers,18756
2025-06-23,LinkedIn Followers,11904
2025-06-23,Threads Followers,2072
2025-06-23,TikTok Followers,8397
2025-06-23,Total Audience,98863
2025-06-23,WhatsApp subscribers,437
2025-06-23,X Followers,12586
2025-06-23,YouTube Subscribers,478
2025-06-30,Bluesky followers,583
2025-06-30,Email Subscribers,24898
2025-06-30,Facebook Followers,19034
2025-06-30,Instagram Followers,18979
2025-06-30,LinkedIn Followers,11954
2025-06-30,Threads Followers,2080
2025-06-30,TikTok Followers,8426
2025-06-30,Total Audience,99470
2025-06-30,WhatsApp subscribers,450
2025-06-30,X Followers,12587
2025-06-30,YouTube Subscribers,479
2025-07-07,Bluesky followers,589
2025-07-07,Email Subscribers,25102
2025-07-07,Facebook Followers,19173
2025-07-07,Instagram Followers,19232
2025-07-07,LinkedIn Followers,11990
2025-07-07,Threads Followers,2091
2025-07-07,TikTok Followers,8465
2025-07-07,Total Audience,100179
2025-07-07,WhatsApp subscribers,468
2025-07-07,X Followers,12591
2025-07-07,YouTube Subscribers,478
2025-07-14,Bluesky followers,589
2025-07-14,Email Subscribers,25308
2025-07-14,Facebook Followers,19341
2025-07-14,Instagram Followers,19422
2025-07-14,LinkedIn Followers,12031
2025-07-14,Threads Followers,2102
2025-07-14,TikTok Followers,8543
2025-07-14,Total Audience,100848
2025-07-14,WhatsApp subscribers,454
2025-07-14,X Followers,12578
2025-07-14,YouTube Subscribers,480
2025-07-21,Bluesky followers,591
2025-07-21,Email Subscribers,25837
2025-07-21,Facebook Followers,19545
2025-07-21,Instagram Followers,19672
2025-07-21,LinkedIn Followers,12062
2025-07-21,Threads Followers,2129
2025-07-21,TikTok Followers,8863
2025-07-21,Total Audience,102197
2025-07-21,WhatsApp subscribers,440
2025-07-21,X Followers,12576
2025-07-21,YouTube Subscribers,482
2025-08-01,Bluesky followers,596
2025-08-01,Email Subscribers,26346
2025-08-01,Facebook Followers,19742
2025-08-01,Instagram Followers,20011
2025-08-01,LinkedIn Followers,12098
2025-08-01,Threads Followers,2146
2025-08-01,TikTok Followers,9299
2025-08-01,Total Audience,103723
2025-08-01,WhatsApp subscribers,425
2025-08-01,X Followers,12572
2025-08-01,YouTube Subscribers,488
2025-08-04,Bluesky followers,598
2025-08-04,Email Subscribers,26882
2025-08-04,Facebook Followers,19804
2025-08-04,Instagram Followers,20212
2025-08-04,LinkedIn Followers,12164
2025-08-04,Threads Followers,2165
2025-08-04,TikTok Followers,9357
2025-08-04,Total Audience,106373
2025-08-04,WhatsApp subscribers,2118
2025-08-04,X Followers,12568
2025-08-04,YouTube Subscribers,505
2025-08-11,Bluesky followers,606
2025-08-11,Email Subscribers,27231
2025-08-11,Facebook Followers,19972
2025-08-11,Instagram Followers,20476
2025-08-11,LinkedIn Followers,12212
2025-08-11,Threads Followers,2189
2025-08-11,TikTok Followers,10263
2025-08-11,Total Audience,108140
2025-08-11,WhatsApp subscribers,2118
2025-08-11,X Followers,12564
2025-08-11,YouTube Subscribers,509
2025-08-18,Bluesky followers,610
2025-08-18,Email Subscribers,27637
2025-08-18,Facebook Followers,20058
2025-08-18,Instagram Followers,20646
2025-08-18,LinkedIn Followers,12271
2025-08-18,Threads Followers,2217
2025-08-18,TikTok Followers,10295
2025-08-18,Total Audience,108917
2025-08-18,WhatsApp subscribers,2118
2025-08-18,X Followers,12555
2025-08-18,YouTube Subscribers,510
2025-08-27,Bluesky followers,611
2025-08-27,Email Subscribers,27795
2025-08-27,Facebook Followers,20140
2025-08-27,Instagram Followers,20763
2025-08-27,LinkedIn Followers,12311
2025-08-27,Threads Followers,2238
2025-08-27,TikTok Followers,10330
2025-08-27,Total Audience,109365
2025-08-27,WhatsApp subscribers,2118
2025-08-27,X Followers,12547
2025-08-27,YouTube Subscribers,512
2025-09-01,Bluesky followers,612
2025-09-01,Email Subscribers,28037
2025-09-01,Facebook Followers,20181
2025-09-01,Instagram Followers,20864
2025-09-01,LinkedIn Followers,12348
2025-09-01,Threads Followers,2250
2025-09-01,TikTok Followers,10343
2025-09-01,Total Audience,110090
2025-09-01,WhatsApp subscribers,2397
2025-09-01,X Followers,12544
2025-09-01,YouTube Subscribers,514
2025-09-08,Bluesky followers,615
2025-09-08,Email Subscribers,28263
2025-09-08,Facebook Followers,20296
2025-09-08,Instagram Followers,20986
2025-09-08,LinkedIn Followers,12375
2025-09-08,Threads Followers,2249
2025-09-08,TikTok Followers,10402
2025-09-08,Total Audience,110631
2025-09-08,WhatsApp subscribers,2397
2025-09-08,X Followers,12533
2025-09-08,YouTube Subscribers,515
2025-09-15,Bluesky followers,619
2025-09-15,Email Subscribers,28508
2025-09-15,Facebook Followers,20343
2025-09-15,Instagram Followers,21147
2025-09-15,LinkedIn Followers,12408
2025-09-15,Threads Followers,2260
2025-09-15,TikTok Followers,10456
2025-09-15,Total Audience,111177
2025-09-15,WhatsApp subscribers,2397
2025-09-15,X Followers,12521
2025-09-15,YouTube Subscribers,518
2025-09-22,Bluesky followers,621
2025-09-22,Email Subscribers,28894
2025-09-22,Facebook Followers,20453
2025-09-22,Instagram Followers,21638
2025-09-22,LinkedIn Followers,12457
2025-09-22,Threads Followers,2268
2025-09-22,TikTok Followers,10563
2025-09-22,Total Audience,112323
2025-09-22,WhatsApp subscribers,2397
2025-09-22,X Followers,12514
2025-09-22,YouTube Subscribers,518
2025-09-29,Bluesky followers,625
2025-09-29,Email Subscribers,29453
2025-09-29,Facebook Followers,20632
2025-09-29,Instagram Followers,21911
2025-09-29,LinkedIn Followers,12515
2025-09-29,Threads Followers,2271
2025-09-29,TikTok Followers,10632
2025-09-29,Total Audience,113566
2025-09-29,WhatsApp subscribers,2500
2025-09-29,X Followers,12505
2025-09-29,YouTube Subscribers,522
2025-10-07,Bluesky followers,627
2025-10-07,Email Subscribers,29954
2025-10-07,Facebook Followers,20774
2025-10-07,Instagram Followers,22164
2025-10-07,LinkedIn Followers,12567
2025-10-07,Threads Followers,2273
2025-10-07,TikTok Followers,10707
2025-10-07,Total Audience,114688
2025-10-07,WhatsApp subscribers,2589
2025-10-07,X Followers,12505
2025-10-07,YouTube Subscribers,528
2025-10-13,Bluesky followers,625
2025-10-13,Email Subscribers,30336
2025-10-13,Facebook Followers,20820
2025-10-13,Instagram Followers,22295
2025-10-13,LinkedIn Followers,12646
2025-10-13,Threads Followers,2282
2025-10-13,TikTok Followers,10705
2025-10-13,Total Audience,115336
2025-10-13,WhatsApp subscribers,2595
2025-10-13,X Followers,12501
2025-10-13,YouTube Subscribers,531
2025-10-21,Bluesky followers,628
2025-10-21,Email Subscribers,30781
2025-10-21,Facebook Followers,20903
2025-10-21,Instagram Followers,22523
2025-10-21,LinkedIn Followers,12708
2025-10-21,Threads Followers,2283
2025-10-21,TikTok Followers,10780
2025-10-21,Total Audience,116239
2025-10-21,WhatsApp subscribers,2604
2025-10-21,X Followers,12494
2025-10-21,YouTube Subscribers,535
2025-10-27,Bluesky followers,627
2025-10-27,Email Subscribers,31146
2025-10-27,Facebook Followers,20989
2025-10-27,Instagram Followers,22678
2025-10-27,LinkedIn Followers,12753
2025-10-27,Threads Followers,2288
2025-10-27,TikTok Followers,10820
2025-10-27,Total Audience,116929
2025-10-27,WhatsApp subscribers,2604
2025-10-27,X Followers,12488
2025-10-27,YouTube Subscribers,536
2025-11-03,Bluesky followers,635
2025-11-03,Email Subscribers,31473
2025-11-03,Facebook Followers,21057
2025-11-03,Instagram Followers,22828
2025-11-03,LinkedIn Followers,12809
2025-11-03,Threads Followers,22828
2025-11-03,TikTok Followers,10879
2025-11-03,Total Audience,138137
2025-11-03,WhatsApp subscribers,2606
2025-11-03,X Followers,12482
2025-11-03,YouTube Subscribers,540
2025-11-11,Bluesky followers,640
2025-11-11,Email Subscribers,31737
2025-11-11,Facebook Followers,21326
2025-11-11,Instagram Followers,23051
2025-11-11,LinkedIn Followers,12870
2025-11-11,Threads Followers,2313
2025-11-11,TikTok Followers,11143
2025-11-11,Total Audience,118720
2025-11-11,WhatsApp subscribers,2612
2025-11-11,X Followers,12482
2025-11-11,YouTube Subscribers,546
2025-11-17,Bluesky followers,644
2025-11-17,Email Subscribers,31967
2025-11-17,Facebook Followers,21565
2025-11-17,Instagram Followers,23413
2025-11-17,LinkedIn Followers,12933
2025-11-17,Threads Followers,2337
2025-11-17,TikTok Followers,11314
2025-11-17,Total Audience,119867
2025-11-17,WhatsApp subscribers,2614
2025-11-17,X Followers,12480
2025-11-17,YouTube Subscribers,600
2025-11-24,Bluesky followers,645
2025-11-24,Email Subscribers,32187
2025-11-24,Facebook Followers,21650
2025-11-24,Instagram Followers,23590
2025-11-24,LinkedIn Followers,12981
2025-11-24,Threads Followers,2344
2025-11-24,TikTok Followers,11329
2025-11-24,Total Audience,120353
2025-11-24,WhatsApp subscribers,2545
2025-11-24,X Followers,12471
2025-11-24,YouTube Subscribers,611
2025-12-01,Bluesky followers,648
2025-12-01,Email Subscribers,32327
2025-12-01,Facebook Followers,21833
2025-12-01,Instagram Followers,23780
2025-12-01,LinkedIn Followers,13013
2025-12-01,Threads Followers,2354
2025-12-01,TikTok Followers,11369
2025-12-01,Total Audience,120948
2025-12-01,WhatsApp subscribers,2543
2025-12-01,X Followers,12464
2025-12-01,YouTube Subscribers,617
2025-12-08,Bluesky followers,650
2025-12-08,Email Subscribers,32334
2025-12-08,Facebook Followers,22011
2025-12-08,Instagram Followers,23966
2025-12-08,LinkedIn Followers,13046
2025-12-08,Threads Followers,2359
2025-12-08,TikTok Followers,11907
2025-12-08,Total Audience,121893
2025-12-08,WhatsApp subscribers,2538
2025-12-08,X Followers,12457
2025-12-08,YouTube Subscribers,625
2025-12-15,Bluesky followers,649
2025-12-15,Email Subscribers,32522
2025-12-15,Facebook Followers,22141
2025-12-15,Instagram Followers,24177
2025-12-15,LinkedIn Followers,13099
2025-12-15,Threads Followers,2367
2025-12-15,TikTok Followers,12163
2025-12-15,Total Audience,122737
2025-12-15,WhatsApp subscribers,2538
2025-12-15,X Followers,12452
2025-12-15,YouTube Subscribers,629
2025-12-22,Bluesky followers,651
2025-12-22,Email Subscribers,32628
2025-12-22,Facebook Followers,22311
2025-12-22,Instagram Followers,24301
2025-12-22,LinkedIn Followers,13131
2025-12-22,Threads Followers,2369
2025-12-22,TikTok Followers,12681
2025-12-22,Total Audience,123687
2025-12-22,WhatsApp subscribers,2541
2025-12-22,X Followers,12440
2025-12-22,YouTube Subscribers,634
